Common Name,Scientific Name,stateProvince,locality,decimalLatitude,decimalLongitude,Matched_Suburb,Matched_Postcode
Bermuda Grass,Cynodon dactylon,Victoria,T1541500 Centre about 1 km ENE of BLACK ROCK,-37.97556,145.0325,BLACK ROCK NORTH,3193
Bermuda Grass,Cynodon dactylon,Victoria,T2492300 Centre about 2 km NW of TARNEIT,-37.85028,144.65361,TRUGANINA,3029
Bermuda Grass,Cynodon dactylon,Victoria,T1900200 Centre about 1 km SW of OSBORNE,-38.26222,145.04667,MOUNT MARTHA,3934
Bermuda Grass,Cynodon dactylon,Victoria,T3274700 Centre about 2 km E of HEPBURN SPRINGS,-37.30694,144.15694,CLYDESDALE,3461
Bermuda Grass,Cynodon dactylon,Victoria,N0218900 Centre about 1 km SSE of CLAYTON,-37.93278,145.13139,NOTTING HILL,3168
Bermuda Grass,Cynodon dactylon,Victoria,E1156700 Centre about 103 m S of BAYLES,-38.17972,145.57278,BAYLES,3981
Bermuda Grass,Cynodon dactylon,Victoria,K2120300 Centre about 5 km NW of IRAAK,-34.39694,142.31528,NANGILOC,3494
Bermuda Grass,Cynodon dactylon,Victoria,T2405800 Centre about 4 km ESE of LITTLE RIVER,-37.97417,144.54778,LITTLE RIVER,3211
Bermuda Grass,Cynodon dactylon,Victoria,T2530900 T2530900,-37.5544,144.8831,YUROKE,3063
Bermuda Grass,Cynodon dactylon,Victoria,TARCOMBE (584416) 5715 m from Tarcombe 84 deg,-36.97946,145.33691,AVENEL,3664
Bermuda Grass,Cynodon dactylon,Victoria,T1520200 Centre about 1 km NW of GLEN IRIS,-37.84972,145.04917,TOORONGA,3146
Bermuda Grass,Cynodon dactylon,Victoria,LANGKOOP (561077) 3974 m from Langkoop 257 deg,-37.09187,141.07909,KADNOOK,3318
Bermuda Grass,Cynodon dactylon,Victoria,"7-11 Fullard Road, Narre Warren 400m south of Narre Warren",-38.03083,145.30389,FOUNTAIN GATE,3805
Bermuda Grass,Cynodon dactylon,Victoria,KBY03B00 Centre about 1 km WNW of BOUNDARY BEND,-34.71444,143.1375,BOUNDARY BEND,3599
Bermuda Grass,Cynodon dactylon,Victoria,E1511400 Centre about 2 km NNE of CAMPBELLFIELD,-37.65833,144.97278,CAMPBELLFIELD,3061
Bermuda Grass,Cynodon dactylon,Victoria,652182 ELLIMINYT,-38.37463,143.57077,IRREWILLIPE,3249
Bermuda Grass,Cynodon dactylon,Victoria,"1005, 1015 and 1025 Plenty Road, South Morang 1005, 1015 and 1025 Plenty Road, South Morang",-37.6371,145.09372,SOUTH MORANG,3752
Bermuda Grass,Cynodon dactylon,Victoria,E0280500 Centre about 1 km SE of KEALBA,-37.73806,144.83194,KEILOR EAST,3033
Bermuda Grass,Cynodon dactylon,Victoria,Site 9 Hattah-Kulkyne National Park lake system,-34.70081,142.37352,NANGILOC,3494
Bermuda Grass,Cynodon dactylon,Victoria,MIGA LAKE (560759) 4759 m from Miga Lake 130 deg,-36.90793,141.59979,MIGA LAKE,3409
Bermuda Grass,Cynodon dactylon,Victoria,T2502700 Centre about 101 m SSE of ROCKBANK,-37.72778,144.65528,AINTREE,3336
Bermuda Grass,Cynodon dactylon,Victoria,F0051300 Centre about 2 km SE of BUMBERRAH,-37.8025,147.83889,JOHNSONVILLE,3902
Bermuda Grass,Cynodon dactylon,Victoria,U0703900 Centre about 419 m WSW of BELLBIRD CORNER,-37.93917,146.95472,MAFFRA WEST UPPER,3859
Bermuda Grass,Cynodon dactylon,Victoria,T0933876 T0933876,-37.957,145.00724,SANDRINGHAM,3191
Bermuda Grass,Cynodon dactylon,Victoria,"NE392_2 Located within Regional Park, about 8 km west of Yarrawonga, in access area leading to Cabrawonga Island. The st",-35.9802,145.75739,KATAMATITE,3649
Bermuda Grass,Cynodon dactylon,Victoria,WERNETH (582527) 3025 m from Werneth 162 deg,-37.92985,143.6149,DUVERNEY,3323
Bermuda Grass,Cynodon dactylon,Victoria,T2441700 Centre about 1 km SW of COOLAROO,-37.66333,144.91944,COOLAROO,3048
